PSO_fitness,GA_fitness,Hybrid_fitness,PSO_test_acc,GA_test_acc,Hybrid_test_acc
0.033333333333333326,0.10833333333333328,0.050000000000000044,0.9333333333333333,0.8333333333333334,0.9333333333333333
0.008333333333333304,0.008333333333333304,0.33333333333333337,0.9666666666666667,0.9666666666666667,0.6666666666666666
0.01666666666666672,0.33333333333333337,0.025000000000000022,0.9,0.6666666666666666,0.9
0.008333333333333304,0.07499999999999996,0.33333333333333337,0.9666666666666667,0.8666666666666667,0.6666666666666666
0.025000000000000022,0.33333333333333337,0.08333333333333337,0.9333333333333333,0.6666666666666666,0.9
0.01666666666666672,0.33333333333333337,0.01666666666666672,0.8666666666666667,0.6666666666666666,0.9666666666666667
0.01666666666666672,0.375,0.09999999999999998,0.8666666666666667,0.5666666666666667,0.8333333333333334
0.125,0.08333333333333337,0.33333333333333337,0.8,0.8333333333333334,0.6666666666666666
0.07499999999999996,0.33333333333333337,0.025000000000000022,0.8333333333333334,0.6666666666666666,0.9333333333333333
0.008333333333333304,0.33333333333333337,0.33333333333333337,0.9333333333333333,0.6666666666666666,0.6666666666666666
0.008333333333333304,0.16666666666666663,0.05833333333333335,1.0,0.7,0.9333333333333333
0.01666666666666672,0.33333333333333337,0.2833333333333333,0.9333333333333333,0.6666666666666666,0.6666666666666666
0.08333333333333337,0.33333333333333337,0.04166666666666663,0.8,0.6666666666666666,0.8666666666666667
0.008333333333333304,0.033333333333333326,0.17500000000000004,0.9333333333333333,0.9,0.7333333333333333
0.025000000000000022,0.025000000000000022,0.025000000000000022,0.9666666666666667,0.9666666666666667,0.9333333333333333
0.008333333333333304,0.04166666666666663,0.09999999999999998,0.9333333333333333,0.9333333333333333,0.8666666666666667
0.008333333333333304,0.01666666666666672,0.008333333333333304,1.0,0.9,0.9
0.008333333333333304,0.06666666666666665,0.06666666666666665,0.9333333333333333,0.9333333333333333,0.8666666666666667
0.008333333333333304,0.33333333333333337,0.01666666666666672,0.9666666666666667,0.6666666666666666,0.9
0.008333333333333304,0.33333333333333337,0.33333333333333337,1.0,0.6666666666666666,0.6666666666666666
